Serial No,Book Page,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
965,143,Agronomy,What is the maximum temperature range for warm season cereals?,15-18 °C,25-30 °C,31-37 °C,44-50 °C,None of these,D,The maximum temperature range for warm season cereals is 44-50 °C.
966,143,Agronomy,What does one micron equal to?,One thousandth of a meter,One millionth of a meter,One billionth of a meter,One trillionth of a meter,None of these,B,One micron is equal to one millionth of a meter.
967,144,Agronomy,What is the conversion factor for nanometers to millimeters?,10⁻⁶,10⁻⁹,10⁻³,10⁻¹²,None of these,A,"The conversion factor for nanometers to millimeters is 10⁻⁶, as stated in the source."
968,144,Agronomy,"Which instrument is used to measure leaf temperature, transpiration, and stomatal resistance?",Porometer,Hygrometer,Thermometer,Anemometer,None of these,A,"A porometer is the instrument used to measure leaf temperature, transpiration, and stomatal resistance."
969,144,Agronomy,"At physiological maturity, what is the approximate moisture percentage of grains?",20%,15%,25%,10%,None of these,A,"At physiological maturity, the moisture percentage of grains is about 20%."
970,144,Agronomy,What is the primary cause of 'popping' in groundnut pods?,Ca deficiency,N deficiency,P deficiency,K deficiency,None of these,A,"Popping in groundnut pods, where the pod is without kernel or unfilled, is primarily caused by Ca deficiency."
971,144,Agronomy,What is the light compensation point for rice crop at 27 °C?,1400 ft. candles,1200 ft. candles,1000 ft. candles,1600 ft. candles,None of these,A,The light compensation point for rice crop at 27 °C is 1400 ft. candles.
972,144,Agronomy,Which type of plants have a higher light saturation point?,C₄ plants,C₃ plants,CAM plants,Algae,None of these,A,C₄ plants have a higher light saturation point compared to C₃ plants.
973,144,Agronomy,What is the term for the first irrigation of crops?,Kor watering,Primary irrigation,Initial watering,First flush,None of these,A,The first irrigation of crops is known as kor watering.
974,145,Agronomy,What does the selectivity ratio measure in agriculture?,The ratio of maximum dose tolerated by the crop to the minimum dose required to kill weeds,The ratio of minimum dose tolerated by the crop to the maximum dose required to kill weeds,The ratio of water needed by a crop to produce 1 kg of dry matter,The ratio of light intensity required for maximum photosynthesis,None of these,A,The selectivity ratio is specifically defined as the ratio of the maximum dose tolerated by the crop to the minimum dose required to kill weeds.
975,145,Agronomy,At what fraction of full sunlight do most crops reach light saturation point?,1/2,1/3,1/5,1/4,None of these,C,"Most crops reach the light saturation point at 1/5th of full sunlight, as stated in the source."
976,145,Agronomy,What is the formula for the Sodium Absorption Ratio (SAR)?,SAR = Na⁺ / (Ca⁺² + Mg⁺² / 2),SAR = Na⁺ / (Ca⁺² - Mg⁺²),SAR = (Na⁺ + Ca⁺²) / Mg⁺²,SAR = (Ca⁺² + Mg⁺²) / Na⁺,None of these,A,The formula for the Sodium Absorption Ratio (SAR) is given as SAR = Na⁺ / (Ca⁺² + Mg⁺² / 2).
977,145,Agronomy,What SAR value is considered harmful to crops?,5,10,13,20,None of these,B,Water containing a SAR value greater than 10 is harmful to crops.
978,145,Agronomy,Who gave the concept of thermoperiodism?,Darwin,Gardner,Mendel,Einstein,None of these,B,The concept of thermoperiodism was given by Gardner.
979,145,Agronomy,What does the transpiration ratio measure?,Amount of water transpired by a crop to produce 1 kg of dry matter,Amount of light required for maximum photosynthesis,Amount of water needed by a crop to produce 1 kg of dry matter,Amount of fertilizer needed by a crop to produce 1 kg of dry matter,None of these,A,The transpiration ratio measures the amount of water transpired by a crop to produce 1 kg of dry matter.
980,145,Agronomy,What is the optimal moisture range for VAPSA/Vetier condition?,0 to 10%,10 to 25%,25 to 50%,50 to 75%,None of these,C,The VAPSA/Vetier condition refers to the optimal moisture range of 25 to 50% moisture depletion for carrying out agricultural operations efficiently.
981,146,Soil Science,Which soil type is characterized by the presence of canker nodules?,Red soils,Black soils,Alluvial soils,Laterite soils,None of these,A,"Canker nodules are predominantly found in red soils, which is a distinctive feature of this soil type."
982,146,Soil Science,What is the process called when sesquioxides are leached out of the soil?,Podzolization,Pedoturbation,Calcification,Salinization,None of these,A,"Podzolization is the process where sesquioxides are moved out of the soil, typically observed in podzolic soils."
983,146,Soil Science,Which soil horizon is typically absent in arable soils?,O horizon,A horizon,B horizon,C horizon,None of these,A,"The O horizon, which is rich in organic matter, is usually absent in arable soils due to frequent tilling and cultivation."
984,146,Soil Science,What is the particle density of most soils?,2.65 g/cc,1.33 g/cc,1.50 g/cc,2.00 g/cc,None of these,A,"The particle density of most soils is approximately 2.65 g/cc, which is a standard value used in soil science."
985,146,Soil Science,Which mineral is a 2:1 expanding type?,Montmorillonite,Kaolinite,Vermiculite,Chlorite,None of these,A,"Montmorillonite is a type of clay mineral that has a 2:1 expanding structure, which means it can swell by absorbing water."
986,146,Soil Science,Which soil order is characterized by recently developed soils with no diagnostic horizons?,Entisols,Inceptisols,Mollisols,Ultisols,None of these,A,"Entisols are recently formed soils that lack diagnostic horizons, often found in areas with recent geological activity."
987,146,Soil Science,Which hormone is responsible for apical bud dominance?,Auxin,Gibberellin,Cytokinin,Abscisic acid,None of these,A,"Auxin is the plant hormone responsible for apical bud dominance, which inhibits the growth of lateral buds."
988,147,Soil Science,Which crops absorb nitrogen in ammonical form directly?,Paddy & potato,Wheat & maize,Sunflower & soybean,Cotton & sugarcane,None of these,A,"Paddy and potato are known to absorb nitrogen directly in the ammonical form, making them unique compared to other crops."
989,147,Soil Science,In which zone of soil should ammonical fertilizers be applied in rice cultivation?,Oxidized zone,Reduced zone,Surface zone,Subsurface zone,None of these,B,Ammonical fertilizers should be applied in the reduced zone of soil for rice cultivation to maximize their effectiveness.
990,147,Soil Science,What is the major source of nitrogen absorption by plants?,Ammonium (NH₄⁺) form,Nitrite (NO₂⁻) form,Nitrate (NO₃⁻) form,Nitrogen gas (N₂) form,None of these,C,"The major source of nitrogen absorption by plants is in the nitrate (NO₃⁻) form, which is readily taken up by plant roots."
991,147,Soil Science,What is the SI unit of pressure?,Newton (N),Joule (J),Pascal (Pa),Watt (W),None of these,C,"The SI unit of pressure is Pascal (Pa), named after the French mathematician and physicist Blaise Pascal."
992,147,Soil Science,Which clay mineral is dominant in red soils?,Montmorillonite,Kaolinite,Illite,Vermiculite,None of these,B,"The dominant clay mineral in red soils is kaolinite, which contributes to their unique properties and color."
993,147,Soil Science,What causes the red color in red soils?,Aluminum oxide,Iron oxide,Calcium carbonate,Silicon dioxide,None of these,B,"The red color in red soils is due to the presence of iron oxide, which gives the soil its distinctive hue."
994,147,Soil Science,Which crop is Azolla widely used as a biofertilizer for?,Wheat,Maize,Rice,Cotton,None of these,C,Azolla is widely used as a biofertilizer in rice crops due to its ability to fix nitrogen and enhance soil fertility.
995,148,Soil Science,Which microorganism is primarily responsible for the decomposition of wood?,Actinomycetes,Fungi,Bacteria,Protozoa,None of these,A,"Actinomycetes are known to be the primary decomposers of wood, breaking down complex organic materials."
996,148,Soil Science,Which gene is responsible for nitrogen fixation?,Nif gene,Fix gene,Nod gene,Rhiz gene,None of these,A,The Nif gene is specifically responsible for the process of nitrogen fixation in certain organisms.
997,148,Soil Science,Which type of soil is most suitable for the majority of crops?,Clay,Silt,Sandy loam,Peat,None of these,C,Sandy loam soils are considered ideal for most crops due to their balanced texture and good drainage properties.
998,148,Soil Science,What does a lowering of the bulk density of soil indicate?,Poor soil structure,Better physical properties,High clay content,Increased compaction,None of these,B,"A lower bulk density indicates better physical properties of soil, such as improved aeration and root penetration."
999,148,Soil Science,Which crop has the highest tolerance to boron?,Wheat,Corn,Sugar beet,Rice,None of these,C,"Sugar beet is known for its high tolerance to boron, making it suitable for soils with higher boron content."
1000,148,Soil Science,What is the desired size of a soil sample for soil testing?,0.1-0.5 kg,0.5-1.0 kg,1.0-1.5 kg,1.5-2.0 kg,None of these,B,The desired size of a soil sample for soil testing is 0.5-1.0 kg to ensure accurate and representative results.
1001,148,Soil Science,Which element is required for seed formation?,Nitrogen,Potassium,Phosphorous,Calcium,None of these,C,Phosphorous is essential for seed formation as it plays a crucial role in the development of seeds and reproductive structures.
1002,149,Soil Science,What term is used for many pedons within a defined limit that forms the basic unit of soil classification?,Soil horizon,Soil series,Soil profile,Pedocal,None of these,B,A soil series groups pedons of similar characteristics and is the fundamental unit in soil classification.
1003,149,Soil Science,Chisel ploughs can break hard soil pans at depths up to approximately:,30-40 cm,45-55 cm,60-70 cm,80-90 cm,None of these,C,The source states chisel ploughs are effective in breaking hard pans even at 60‑70 cm depth.
1004,149,Soil Science,Which implement is primarily used for primary tillage?,Harrow,Plough,Cultivator,Roller,None of these,B,"Ploughs are designated for primary tillage, whereas harrows are for secondary tillage."
1005,149,Soil Science,Which stage accounts for about three‑quarters of wind erosion?,Suspension,Surface creep,Saltation,Deflation,None of these,C,"Saltation contributes roughly 75% of wind erosion, making it the dominant stage."
1006,149,Soil Science,Cabbage becomes highly sensitive to boron toxicity at concentrations lower than:,0.10 ppm,0.33 ppm,1.0 ppm,5.0 ppm,None of these,B,The source specifies that cabbage shows toxicity when boron is below 0.33 ppm.
1007,149,Soil Science,Which of the following is a widely used urease inhibitor in India?,Nitragin,Agrotain (NBPT),Dicyandiamide,Urea,None of these,B,"Agrotain, also known as NBPT, is the most common urease inhibitor commercially available in India."
1008,149,Soil Science,"At pH 6.5 or lower, which phosphate ion is most readily absorbed by plants?",HPO4^2-,PO4^3-,H2PO4^-,H3PO4,None of these,C,H2PO4^- is the phosphate form that plants absorb most efficiently under acidic conditions (pH ≤ 6.5).
1009,150,Soil Science,Foliar spraying is primarily used to apply which of the following?,Large quantity of fertilizers,Micronutrients,Irrigation water,Pesticides,None of these,B,"Foliar spraying delivers nutrients directly to leaves, making it ideal for micronutrients that are needed in small amounts and bypasses soil uptake."
1010,150,Soil Science,"According to the source, organic matter is the major source for which element at 80%?",Nitrogen,Phosphorus,Sulphur,Potassium,None of these,C,"The text states that organic matter supplies 80% of sulphur, making it the major source."
